X1,Z1,X3,Z3,X5,Z5,X7,Z7
3.143991795117218e-05,-6.361782515778006e-05,2.119541428253712e-05,-1.497660364803538e-05,-5.5826338433915174e-05,2.9912018035268487e-05,-4.593335707602296e-05,8.148773036899082e-05
5.562331575940608e-05,-0.00011246274394413234,3.72499128560647e-05,-2.6553597830489866e-05,-9.857008730554127e-05,5.279719229681721e-05,-8.107267288425646e-05,0.0001436696048063795
8.484640709926681e-05,-0.00017249312410531502,5.68082737301619e-05,-4.087655114670109e-05,-0.00015089432889355594,8.064523612183476e-05,-0.0001238696601061854,0.00021941884362496446
0.00011485616273217294,-0.00023645080206235005,7.732527872372866e-05,-5.623384549653508e-05,-0.00020627705882929993,0.00010977764116854618,-0.00016865065296279555,0.000298969631437925
0.00014093242537064997,-0.0002962009527792,9.589825828795596e-05,-7.05823613216204e-05,-0.00025742748113355006,0.00013613525101935,-0.00020916092057369996,0.00037152096873907493
0.00015914786994120002,-0.000344642701155725,0.000109845315845925,-8.205748538089999e-05,-0.00029794414187750006,0.00015629661379479998,-0.000240078971586825,0.00042785946864560024
0.00016717023111809993,-0.00037676113448042526,0.00011721296159162496,-8.9258358592275e-05,-0.0003232412128271749,0.0001679620372255999,-0.000257742338723,0.00046177781483519977
0.0001644913708566001,-0.00039011047376669985,0.00011717335370585002,-9.136675608412495e-05,-0.000330945885238475,0.0001700934468937251,-0.0002603877703182,0.0004705134039025001
0.00015220275748527496,-0.0003847422528803499,0.00011011336337989996,-8.816733270622509e-05,-0.0003208770838677502,0.00016284568725484993,-0.000248046986823025,0.00045454362567079985
0.000132571315451475,-0.000362618723869175,9.747366632715008e-05,-7.992790878002501e-05,-0.00029479191529205003,0.00014730602397712502,-0.00022225580743827507,0.0004169649112877004
0.00010841974331927506,-0.0003268634797229746,8.142081330827491e-05,-6.721639857967495e-05,-0.00025594108414222485,0.000125186539254675,-0.00018581044046072498,0.0003625571814393747
8.246510352457486e-05,-0.0002811870082382252,6.432305374820015e-05,-5.082463439517505e-05,-0.00020839853512495026,9.862881234755003e-05,-0.00014248216252072494,0.000296844289856
5.6966305466874976e-05,-0.0002295211880702498,4.8224069468549976e-05,-3.176396296502486e-05,-0.00015645776861237474,6.998911479562495e-05,-9.646089972747528e-05,0.00022546728599300014
3.36028295966251e-05,-0.00017579688241885043,3.4608058183599856e-05,-1.118435668315005e-05,-0.00010425311213397518,4.154305837232499e-05,-5.178138293682492e-05,0.00015374706101850023
1.3431424269375004e-05,-0.0001237213049948751,2.4268625390775006e-05,9.668120265224974e-06,-5.5418686960374657e-05,1.5284179699750046e-05,-1.1939225392124976e-05,8.63066466866751e-05
-3.01350263605003e-06,-7.644142326282497e-05,1.7192522958125013e-05,2.941996439689994e-05,-1.2816029498150146e-05,-7.177882938249995e-06,2.0453394035025232e-05,2.6845981385074935e-05
-1.5561370217499976e-05,-3.624436780647489e-05,1.2765957442400187e-05,4.669993395967499e-05,2.1576366195750086e-05,-2.4700292198949828e-05,4.387426346067489e-05,-2.2006644433850663e-05
-2.4290551622400047e-05,-4.4613301354752555e-06,1.020156086077497e-05,6.040631529267504e-05,4.6724357990125115e-05,-3.663178139332512e-05,5.7838037876750074e-05,-5.882521046127447e-05
-2.9398752643125048e-05,1.846797306605079e-05,8.845443160349943e-06,6.989952036657503e-05,6.255448691294989e-05,-4.280211186232516e-05,6.275753776407511e-05,-8.336179563309988e-05
-3.106217315812488e-05,3.288284162039981e-05,8.328679747199872e-06,7.508317374134996e-05,6.976750679689968e-05,-4.35861936272249e-05,5.978787427707473e-05,-9.635569656567516e-05
-2.9443870644500162e-05,3.973894537817515e-05,8.58373256599999e-06,7.636434304115e-05,6.953459681505007e-05,-3.9930583881399914e-05,5.054352320167524e-05,-9.933300170380036e-05
-2.485258969624985e-05,4.038529919337449e-05,9.617476974475066e-06,7.442547390472501e-05,6.331812846515012e-05,-3.314156274299997e-05,3.6784522077549803e-05,-9.44072521020245e-05
-1.7811027113874903e-05,3.639669792887502e-05,1.1251691551575002e-05,6.998493342142499e-05,5.272916219680032e-05,-2.4585371737149888e-05,2.0237120590124898e-05,-8.401790988375041e-05
-9.03583459997497e-06,2.9430957222525197e-05,1.3187896072199955e-05,6.379043558197504e-05,3.935965015269957e-05,-1.5478698852650205e-05,2.4650457191004865e-06,-7.068050936997507e-05
5.260390042248052e-07,2.099576191170018e-05,1.513843298870006e-05,5.665011264092501e-05,2.4747899882075416e-05,-6.7430296129000495e-06,-1.520898069480017e-05,-5.67262748628998e-05
